編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQOMLLKNHPFFAA67CB,政大段四小段,14.52,都市：住
RPQOMLLKNHPFFAA67CB,政大段四小段,8.86,都市：住
RPTOMLLKNHPFFAA97CB,政大段四小段,19.27,都市：住
RPTOMLLKNHPFFAA97CB,政大段四小段,11.76,都市：住
RPUOMLLKNHPFFAA08CB,政大段四小段,22.57,都市：住
RPUOMLLKNHPFFAA08CB,政大段四小段,13.77,都市：住
RPROMLLKNHPFFAA77CB,政大段四小段,26.66,都市：住
RPROMLLKNHPFFAA77CB,政大段四小段,16.27,都市：住
RPPPMLLKNHPFFAA67CB,政大段四小段,21.91,都市：住
RPPPMLLKNHPFFAA67CB,政大段四小段,13.37,都市：住
RPOPMLLKNHPFFAA57CB,政大段四小段,14.52,都市：住
RPOPMLLKNHPFFAA57CB,政大段四小段,8.86,都市：住
RPVOMLLKNHPFFAA18CB,政大段四小段,19.27,都市：住
RPVOMLLKNHPFFAA18CB,政大段四小段,11.76,都市：住
RPSOMLLKNHPFFAA87CB,政大段四小段,14.39,都市：住
RPSOMLLKNHPFFAA87CB,政大段四小段,8.78,都市：住
RPXOMLLKNHPFFAA38CB,政大段四小段,21.78,都市：住
RPXOMLLKNHPFFAA38CB,政大段四小段,13.29,都市：住
RPRPMLLKNHPFFAA87CB,政大段四小段,14.52,都市：住
RPRPMLLKNHPFFAA87CB,政大段四小段,8.86,都市：住
RPWOMLLKNHPFFAA28CB,政大段四小段,14.39,都市：住
RPWOMLLKNHPFFAA28CB,政大段四小段,8.78,都市：住
RPSPMLLKNHPFFAA97CB,政大段四小段,19.27,都市：住
RPSPMLLKNHPFFAA97CB,政大段四小段,11.76,都市：住
RPUPMLLKNHPFFAA18CB,政大段四小段,20.46,都市：住
RPUPMLLKNHPFFAA18CB,政大段四小段,12.48,都市：住
RPQPMLLKNHPFFAA77CB,政大段四小段,14.52,都市：住
RPQPMLLKNHPFFAA77CB,政大段四小段,8.86,都市：住
RPXPMLLKNHPFFAA48CB,政大段四小段,14.39,都市：住
RPXPMLLKNHPFFAA48CB,政大段四小段,8.78,都市：住
RPTPMLLKNHPFFAA08CB,政大段四小段,23.89,都市：住
RPTPMLLKNHPFFAA08CB,政大段四小段,14.57,都市：住
RPVPMLLKNHPFFAA28CB,政大段四小段,20.59,都市：住
RPVPMLLKNHPFFAA28CB,政大段四小段,12.56,都市：住
RPWPMLLKNHPFFAA38CB,政大段四小段,22.57,都市：住
RPWPMLLKNHPFFAA38CB,政大段四小段,13.77,都市：住
RPOQMLLKNHPFFAA67CB,政大段四小段,19.27,都市：住
RPOQMLLKNHPFFAA67CB,政大段四小段,11.76,都市：住
RPQQMLLKNHPFFAA87CB,政大段四小段,22.57,都市：住
RPQQMLLKNHPFFAA87CB,政大段四小段,13.77,都市：住
RPSQMLLKNHPFFAA08CB,政大段四小段,14.52,都市：住
RPSQMLLKNHPFFAA08CB,政大段四小段,8.86,都市：住
RPTQMLLKNHPFFAA18CB,政大段四小段,24.02,都市：住
RPTQMLLKNHPFFAA18CB,政大段四小段,14.65,都市：住
RPPQMLLKNHPFFAA77CB,政大段四小段,20.59,都市：住
RPPQMLLKNHPFFAA77CB,政大段四小段,12.56,都市：住
RPUQMLLKNHPFFAA28CB,政大段四小段,14.52,都市：住
RPUQMLLKNHPFFAA28CB,政大段四小段,8.86,都市：住
RPXQMLLKNHPFFAA58CB,政大段四小段,19.27,都市：住
RPXQMLLKNHPFFAA58CB,政大段四小段,11.76,都市：住
RPWQMLLKNHPFFAA48CB,政大段四小段,19.27,都市：住
RPWQMLLKNHPFFAA48CB,政大段四小段,11.76,都市：住
RPVQMLLKNHPFFAA38CB,政大段四小段,14.39,都市：住
RPVQMLLKNHPFFAA38CB,政大段四小段,8.78,都市：住
RPPRMLLKNHPFFAA87CB,政大段四小段,27.72,都市：住
RPPRMLLKNHPFFAA87CB,政大段四小段,16.91,都市：住
RPORMLLKNHPFFAA77CB,政大段四小段,19.27,都市：住
RPORMLLKNHPFFAA77CB,政大段四小段,11.76,都市：住
RPQRMLLKNHPFFAA97CB,政大段四小段,14.52,都市：住
RPQRMLLKNHPFFAA97CB,政大段四小段,8.86,都市：住
RPTRMLLKNHPFFAA28CB,政大段四小段,19.27,都市：住
RPTRMLLKNHPFFAA28CB,政大段四小段,11.76,都市：住
RPSRMLLKNHPFFAA18CB,政大段四小段,19.27,都市：住
RPSRMLLKNHPFFAA18CB,政大段四小段,11.76,都市：住
RPURMLLKNHPFFAA38CB,政大段四小段,19.27,都市：住
RPURMLLKNHPFFAA38CB,政大段四小段,11.76,都市：住
RPVRMLLKNHPFFAA48CB,政大段四小段,19.27,都市：住
RPVRMLLKNHPFFAA48CB,政大段四小段,11.76,都市：住
RPRRMLLKNHPFFAA08CB,政大段四小段,15.84,都市：住
RPRRMLLKNHPFFAA08CB,政大段四小段,9.66,都市：住
RPWRMLLKNHPFFAA58CB,政大段四小段,19.27,都市：住
RPWRMLLKNHPFFAA58CB,政大段四小段,11.76,都市：住
RPROMLMKNHPFFAA87CB,政大段四小段,23.89,都市：住
RPROMLMKNHPFFAA87CB,政大段四小段,14.57,都市：住
RPOSMLLKNHPFFAA87CB,政大段四小段,19.27,都市：住
RPOSMLLKNHPFFAA87CB,政大段四小段,11.76,都市：住
RPXRMLLKNHPFFAA68CB,政大段四小段,21.91,都市：住
RPXRMLLKNHPFFAA68CB,政大段四小段,13.37,都市：住
RPUNMLMKNHPFFDA38CB,南港段四小段,.93,都市：住
RPUNMLMKNHPFFDA38CB,南港段四小段,1.67,都市：住
RPUNMLMKNHPFFDA38CB,南港段四小段,2.92,都市：住
RPUNMLMKNHPFFDA38CB,南港段四小段,1.05,都市：住
RPUNMLMKNHPFFDA38CB,南港段四小段,2.07,都市：住
RPUNMLMKNHPFFDA38CB,南港段四小段,1.50,都市：住
RPUNMLMKNHPFFDA38CB,南港段四小段,.47,都市：住
RPUNMLMKNHPFFDA38CB,南港段四小段,.68,都市：住
RPUNMLMKNHPFFDA38CB,南港段四小段,.35,都市：住
RPUNMLMKNHPFFDA38CB,南港段四小段,2.31,都市：住
RPRNMLMKNHPFFDA08CB,南港段四小段,.91,都市：住
RPRNMLMKNHPFFDA08CB,南港段四小段,1.64,都市：住
RPRNMLMKNHPFFDA08CB,南港段四小段,2.87,都市：住
RPRNMLMKNHPFFDA08CB,南港段四小段,1.03,都市：住
RPRNMLMKNHPFFDA08CB,南港段四小段,2.03,都市：住
RPRNMLMKNHPFFDA08CB,南港段四小段,1.47,都市：住
RPRNMLMKNHPFFDA08CB,南港段四小段,.46,都市：住
RPRNMLMKNHPFFDA08CB,南港段四小段,.67,都市：住
RPRNMLMKNHPFFDA08CB,南港段四小段,.35,都市：住
RPRNMLMKNHPFFDA08CB,南港段四小段,2.27,都市：住
RPOOMLMKNHPFFDA87CB,南港段四小段,2.42,都市：住
RPOOMLMKNHPFFDA87CB,南港段四小段,1.76,都市：住
RPOOMLMKNHPFFDA87CB,南港段四小段,.55,都市：住
RPOOMLMKNHPFFDA87CB,南港段四小段,.80,都市：住
RPOOMLMKNHPFFDA87CB,南港段四小段,.41,都市：住
RPOOMLMKNHPFFDA87CB,南港段四小段,2.70,都市：住
RPOOMLMKNHPFFDA87CB,南港段四小段,1.09,都市：住
RPOOMLMKNHPFFDA87CB,南港段四小段,1.95,都市：住
RPOOMLMKNHPFFDA87CB,南港段四小段,3.42,都市：住
RPOOMLMKNHPFFDA87CB,南港段四小段,1.22,都市：住
RPQOMLMKNHPFFDA08CB,南港段四小段,1.88,都市：住
RPQOMLMKNHPFFDA08CB,南港段四小段,3.36,都市：住
RPQOMLMKNHPFFDA08CB,南港段四小段,5.89,都市：住
RPQOMLMKNHPFFDA08CB,南港段四小段,2.11,都市：住
RPQOMLMKNHPFFDA08CB,南港段四小段,4.18,都市：住
RPQOMLMKNHPFFDA08CB,南港段四小段,3.03,都市：住
RPQOMLMKNHPFFDA08CB,南港段四小段,.94,都市：住
RPQOMLMKNHPFFDA08CB,南港段四小段,1.38,都市：住
RPQOMLMKNHPFFDA08CB,南港段四小段,.71,都市：住
RPQOMLMKNHPFFDA08CB,南港段四小段,4.66,都市：住
RPSNMLMKNHPFFDA18CB,南港段四小段,.93,都市：住
RPSNMLMKNHPFFDA18CB,南港段四小段,1.67,都市：住
RPSNMLMKNHPFFDA18CB,南港段四小段,2.92,都市：住
RPSNMLMKNHPFFDA18CB,南港段四小段,1.05,都市：住
RPSNMLMKNHPFFDA18CB,南港段四小段,2.07,都市：住
RPSNMLMKNHPFFDA18CB,南港段四小段,1.50,都市：住
RPSNMLMKNHPFFDA18CB,南港段四小段,.47,都市：住
RPSNMLMKNHPFFDA18CB,南港段四小段,.68,都市：住
RPSNMLMKNHPFFDA18CB,南港段四小段,.35,都市：住
RPSNMLMKNHPFFDA18CB,南港段四小段,2.31,都市：住
RPPOMLMKNHPFFDA97CB,南港段四小段,2.42,都市：住
RPPOMLMKNHPFFDA97CB,南港段四小段,1.76,都市：住
RPPOMLMKNHPFFDA97CB,南港段四小段,.55,都市：住
RPPOMLMKNHPFFDA97CB,南港段四小段,.80,都市：住
RPPOMLMKNHPFFDA97CB,南港段四小段,.41,都市：住
RPPOMLMKNHPFFDA97CB,南港段四小段,2.70,都市：住
RPPOMLMKNHPFFDA97CB,南港段四小段,1.09,都市：住
RPPOMLMKNHPFFDA97CB,南港段四小段,1.95,都市：住
RPPOMLMKNHPFFDA97CB,南港段四小段,3.42,都市：住
RPPOMLMKNHPFFDA97CB,南港段四小段,1.22,都市：住
RPVNMLMKNHPFFDA48CB,南港段四小段,.94,都市：住
RPVNMLMKNHPFFDA48CB,南港段四小段,1.69,都市：住
RPVNMLMKNHPFFDA48CB,南港段四小段,2.96,都市：住
RPVNMLMKNHPFFDA48CB,南港段四小段,1.06,都市：住
RPVNMLMKNHPFFDA48CB,南港段四小段,2.10,都市：住
RPVNMLMKNHPFFDA48CB,南港段四小段,1.52,都市：住
RPVNMLMKNHPFFDA48CB,南港段四小段,.47,都市：住
RPVNMLMKNHPFFDA48CB,南港段四小段,.69,都市：住
RPVNMLMKNHPFFDA48CB,南港段四小段,.36,都市：住
RPVNMLMKNHPFFDA48CB,南港段四小段,2.34,都市：住
RPWOMLMKNHPFFDA68CB,南港段四小段,1.12,都市：住
RPWOMLMKNHPFFDA68CB,南港段四小段,2.00,都市：住
RPWOMLMKNHPFFDA68CB,南港段四小段,3.50,都市：住
RPWOMLMKNHPFFDA68CB,南港段四小段,1.25,都市：住
RPWOMLMKNHPFFDA68CB,南港段四小段,2.48,都市：住
RPWOMLMKNHPFFDA68CB,南港段四小段,1.80,都市：住
RPWOMLMKNHPFFDA68CB,南港段四小段,.56,都市：住
RPWOMLMKNHPFFDA68CB,南港段四小段,.82,都市：住
RPWOMLMKNHPFFDA68CB,南港段四小段,.42,都市：住
RPWOMLMKNHPFFDA68CB,南港段四小段,2.77,都市：住
RPUOMLMKNHPFFDA48CB,南港段四小段,1.88,都市：住
RPUOMLMKNHPFFDA48CB,南港段四小段,3.36,都市：住
RPUOMLMKNHPFFDA48CB,南港段四小段,5.89,都市：住
RPUOMLMKNHPFFDA48CB,南港段四小段,2.11,都市：住
RPUOMLMKNHPFFDA48CB,南港段四小段,4.18,都市：住
RPUOMLMKNHPFFDA48CB,南港段四小段,3.03,都市：住
RPUOMLMKNHPFFDA48CB,南港段四小段,.94,都市：住
RPUOMLMKNHPFFDA48CB,南港段四小段,1.38,都市：住
RPUOMLMKNHPFFDA48CB,南港段四小段,.71,都市：住
RPUOMLMKNHPFFDA48CB,南港段四小段,4.66,都市：住
RPVOMLMKNHPFFDA58CB,南港段四小段,1.88,都市：住
RPVOMLMKNHPFFDA58CB,南港段四小段,3.36,都市：住
RPVOMLMKNHPFFDA58CB,南港段四小段,5.89,都市：住
RPVOMLMKNHPFFDA58CB,南港段四小段,2.11,都市：住
RPVOMLMKNHPFFDA58CB,南港段四小段,4.18,都市：住
RPVOMLMKNHPFFDA58CB,南港段四小段,3.03,都市：住
RPVOMLMKNHPFFDA58CB,南港段四小段,.94,都市：住
RPVOMLMKNHPFFDA58CB,南港段四小段,1.38,都市：住
RPVOMLMKNHPFFDA58CB,南港段四小段,.71,都市：住
RPVOMLMKNHPFFDA58CB,南港段四小段,4.66,都市：住
RPPPMLMKNHPFFDA08CB,南港段四小段,1.94,都市：住
RPPPMLMKNHPFFDA08CB,南港段四小段,3.47,都市：住
RPPPMLMKNHPFFDA08CB,南港段四小段,6.08,都市：住
RPPPMLMKNHPFFDA08CB,南港段四小段,2.18,都市：住
RPPPMLMKNHPFFDA08CB,南港段四小段,4.31,都市：住
RPPPMLMKNHPFFDA08CB,南港段四小段,3.13,都市：住
RPPPMLMKNHPFFDA08CB,南港段四小段,.97,都市：住
RPPPMLMKNHPFFDA08CB,南港段四小段,1.42,都市：住
RPPPMLMKNHPFFDA08CB,南港段四小段,.73,都市：住
RPPPMLMKNHPFFDA08CB,南港段四小段,4.81,都市：住
RPRQMLMKNHPFFDA38CB,南港段四小段,1.96,都市：住
RPRQMLMKNHPFFDA38CB,南港段四小段,3.50,都市：住
RPRQMLMKNHPFFDA38CB,南港段四小段,6.13,都市：住
RPRQMLMKNHPFFDA38CB,南港段四小段,2.19,都市：住
RPRQMLMKNHPFFDA38CB,南港段四小段,4.35,都市：住
RPRQMLMKNHPFFDA38CB,南港段四小段,3.15,都市：住
RPRQMLMKNHPFFDA38CB,南港段四小段,.98,都市：住
RPRQMLMKNHPFFDA38CB,南港段四小段,1.43,都市：住
RPRQMLMKNHPFFDA38CB,南港段四小段,.74,都市：住
RPRQMLMKNHPFFDA38CB,南港段四小段,4.85,都市：住
RPSQMLMKNHPFFDA48CB,南港段四小段,1.10,都市：住
RPSQMLMKNHPFFDA48CB,南港段四小段,1.98,都市：住
